"STATION","NAME","DATE","AWND","PGTM","PRCP","SNWD","TAVG","TMAX","TMIN","TSUN","WSF2","WT01","WT02","WT03","WT08","WT09"
"USW00093073","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","1998-05-21","3.6"," 0403","0.8",,"11.7","20.0","3.3",,"9.8",,,,,
"USW00093073","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","1998-05-22","3.0"," 1626","0.0",,"7.8","16.1","-1.1",,"9.8",,,,,
"USW00093073","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","1998-05-23","3.4"," 1047","0.0",,"7.2","15.6","-1.7",,"7.2",,,,,
"USW00093073","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","1998-05-24","2.7"," 1054","1.0",,"7.2","15.0","-0.6",,"11.2",,,,,
"USW00093073","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","1998-05-25","3.3"," 2027","0.0",,"10.0","21.1","-1.7",,"9.8",,,,,
"USW00093073","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","1998-05-26","5.1"," 1203","0.0",,"13.9","22.8","5.0",,"11.6",,,,,
"USW00093073","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","1998-05-27","3.9"," 1028","0.0",,"12.2","22.2","2.2",,"9.8",,,,,
"USW00093073","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","1998-05-28","3.4"," 1402","0.0",,"13.3","23.9","2.2",,"7.6",,,,,
"USW00093073","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","1998-05-29","3.0"," 1304","0.0",,"13.9","23.9","3.3",,"8.0",,,,,
"USW00093073","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","1998-05-30","3.0"," 1240","0.0",,"12.8","21.1","4.4",,"7.2",,,,,
"USW00093073","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","1998-05-31","3.0"," 1436","0.0",,"12.8","23.3","1.7",,"8.0",,,,,
"USW00093073","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","1998-06-01","3.4"," 1200","0.0",,"13.3","23.3","2.8",,"8.9",,,,,
