MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20250211,08097,Pitkin County,CO,9.62,90.38,17.26,0.00,0.00,0.00,2025-02-11,2025-02-17,1
20250204,08097,Pitkin County,CO,30.85,69.15,0.00,0.00,0.00,0.00,2025-02-04,2025-02-10,1
20250128,08097,Pitkin County,CO,98.33,1.67,0.00,0.00,0.00,0.00,2025-01-28,2025-02-03,1
20250121,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2025-01-21,2025-01-27,1
20250114,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2025-01-14,2025-01-20,1
20250107,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2025-01-07,2025-01-13,1
20241231,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20241224,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-12-24,2024-12-30,1
20241217,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-12-17,2024-12-23,1
20241210,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-12-10,2024-12-16,1
20241203,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-12-03,2024-12-09,1
20241126,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-11-26,2024-12-02,1
20241119,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-11-19,2024-11-25,1
20241112,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-11-12,2024-11-18,1
20241105,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-11-05,2024-11-11,1
20241029,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-10-29,2024-11-04,1
20241022,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-10-22,2024-10-28,1
20241015,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-10-15,2024-10-21,1
20241008,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-10-08,2024-10-14,1
20241001,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-10-01,2024-10-07,1
20240924,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-09-24,2024-09-30,1
20240917,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-09-17,2024-09-23,1
20240910,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-09-10,2024-09-16,1
20240903,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-09-03,2024-09-09,1
20240827,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-08-27,2024-09-02,1
20240820,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-08-20,2024-08-26,1
20240813,08097,Pitkin County,CO,90.29,9.71,0.00,0.00,0.00,0.00,2024-08-13,2024-08-19,1
20240806,08097,Pitkin County,CO,90.75,9.25,0.00,0.00,0.00,0.00,2024-08-06,2024-08-12,1
20240730,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-07-30,2024-08-05,1
20240723,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-07-23,2024-07-29,1
20240716,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-07-16,2024-07-22,1
20240709,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-07-09,2024-07-15,1
20240702,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-07-02,2024-07-08,1
20240625,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-06-25,2024-07-01,1
20240618,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-06-18,2024-06-24,1
20240611,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-06-11,2024-06-17,1
20240604,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-06-04,2024-06-10,1
20240528,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-28,2024-06-03,1
20240521,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-21,2024-05-27,1
20240514,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-14,2024-05-20,1
20240507,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-07,2024-05-13,1
20240430,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-30,2024-05-06,1
20240423,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-23,2024-04-29,1
20240416,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-16,2024-04-22,1
20240409,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-09,2024-04-15,1
20240402,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-02,2024-04-08,1
20240326,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-03-26,2024-04-01,1
20240319,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-03-19,2024-03-25,1
20240312,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-03-12,2024-03-18,1
20240305,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2024-03-05,2024-03-11,1
20240227,08097,Pitkin County,CO,91.60,8.40,0.00,0.00,0.00,0.00,2024-02-27,2024-03-04,1
20240220,08097,Pitkin County,CO,91.60,8.40,0.00,0.00,0.00,0.00,2024-02-20,2024-02-26,1
20240213,08097,Pitkin County,CO,91.60,8.40,0.00,0.00,0.00,0.00,2024-02-13,2024-02-19,1
20240206,08097,Pitkin County,CO,91.60,8.40,0.00,0.00,0.00,0.00,2024-02-06,2024-02-12,1
20240130,08097,Pitkin County,CO,12.05,87.95,0.00,0.00,0.00,0.00,2024-01-30,2024-02-05,1
20240123,08097,Pitkin County,CO,12.05,87.95,0.00,0.00,0.00,0.00,2024-01-23,2024-01-29,1
20240116,08097,Pitkin County,CO,12.33,87.67,0.00,0.00,0.00,0.00,2024-01-16,2024-01-22,1
20240109,08097,Pitkin County,CO,0.00,100.00,0.00,0.00,0.00,0.00,2024-01-09,2024-01-15,1
20240102,08097,Pitkin County,CO,92.68,7.32,0.00,0.00,0.00,0.00,2024-01-02,2024-01-08,1
20231226,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2023-12-26,2024-01-01,1
20231219,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2023-12-19,2023-12-25,1
20231212,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2023-12-12,2023-12-18,1
20231205,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2023-12-05,2023-12-11,1
20231128,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2023-11-28,2023-12-04,1
20231121,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2023-11-21,2023-11-27,1
20231114,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2023-11-14,2023-11-20,1
20231107,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2023-11-07,2023-11-13,1
20231031,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2023-10-31,2023-11-06,1
20231024,08097,Pitkin County,CO,94.18,5.82,0.00,0.00,0.00,0.00,2023-10-24,2023-10-30,1
20231017,08097,Pitkin County,CO,94.18,5.82,0.00,0.00,0.00,0.00,2023-10-17,2023-10-23,1
20231010,08097,Pitkin County,CO,93.40,6.60,0.00,0.00,0.00,0.00,2023-10-10,2023-10-16,1
20231003,08097,Pitkin County,CO,92.69,7.31,0.00,0.00,0.00,0.00,2023-10-03,2023-10-09,1
20230926,08097,Pitkin County,CO,92.70,7.30,0.00,0.00,0.00,0.00,2023-09-26,2023-10-02,1
20230919,08097,Pitkin County,CO,94.21,5.79,0.00,0.00,0.00,0.00,2023-09-19,2023-09-25,1
20230912,08097,Pitkin County,CO,95.29,4.71,0.00,0.00,0.00,0.00,2023-09-12,2023-09-18,1
20230905,08097,Pitkin County,CO,95.29,4.71,0.00,0.00,0.00,0.00,2023-09-05,2023-09-11,1
20230829,08097,Pitkin County,CO,98.90,1.10,0.00,0.00,0.00,0.00,2023-08-29,2023-09-04,1
20230822,08097,Pitkin County,CO,37.08,62.92,0.00,0.00,0.00,0.00,2023-08-22,2023-08-28,1
20230815,08097,Pitkin County,CO,37.50,62.50,0.00,0.00,0.00,0.00,2023-08-15,2023-08-21,1
20230808,08097,Pitkin County,CO,99.65,0.35,0.00,0.00,0.00,0.00,2023-08-08,2023-08-14,1
20230801,08097,Pitkin County,CO,99.84,0.16,0.00,0.00,0.00,0.00,2023-08-01,2023-08-07,1
20230725,08097,Pitkin County,CO,99.91,0.09,0.00,0.00,0.00,0.00,2023-07-25,2023-07-31,1
20230718,08097,Pitkin County,CO,99.91,0.09,0.00,0.00,0.00,0.00,2023-07-18,2023-07-24,1
20230711,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2023-07-11,2023-07-17,1
20230704,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2023-07-04,2023-07-10,1
20230627,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2023-06-27,2023-07-03,1
20230620,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2023-06-20,2023-06-26,1
20230613,08097,Pitkin County,CO,72.49,27.51,0.00,0.00,0.00,0.00,2023-06-13,2023-06-19,1
20230606,08097,Pitkin County,CO,72.49,27.51,0.00,0.00,0.00,0.00,2023-06-06,2023-06-12,1
20230530,08097,Pitkin County,CO,72.49,27.51,0.00,0.00,0.00,0.00,2023-05-30,2023-06-05,1
20230523,08097,Pitkin County,CO,72.49,27.51,0.00,0.00,0.00,0.00,2023-05-23,2023-05-29,1
20230516,08097,Pitkin County,CO,69.87,30.13,0.00,0.00,0.00,0.00,2023-05-16,2023-05-22,1
20230509,08097,Pitkin County,CO,69.87,30.13,0.00,0.00,0.00,0.00,2023-05-09,2023-05-15,1
20230502,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2023-05-02,2023-05-08,1
20230425,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,1
20230418,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2023-04-18,2023-04-24,1
20230411,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2023-04-11,2023-04-17,1
20230404,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2023-04-04,2023-04-10,1
20230328,08097,Pitkin County,CO,100.00,0.00,0.00,0.00,0.00,0.00,2023-03-28,2023-04-03,1
